belongs_to_collection,nro_peliculas,total_revenue,average_revenue
Death Note Collection,3,108734800.0,36244933.333333336
Carnosaur Collection,3,1753979.0,584659.6666666666
The Neverending Story Collection,3,36442475.0,12147491.666666666
Dead or Alive Collection,3,0.0,0.0
Walking Tall Collection,3,57223890.0,19074630.0
Cars Collection,3,1372005602.0,457335200.6666667
Blade Collection,3,415098928.0,138366309.33333334
Cat Stevens y Hutch Bessy Trilogy,3,0.0,0.0
The One-Armed Swordsman Collection,3,0.0,0.0
Design Trilogy,3,0.0,0.0
War Trilogy,3,0.0,0.0
The Three Mothers Collection,3,54947.0,18315.666666666668
Barrytown Trilogy,3,0.0,0.0
Divergent Collection,3,763232964.0,254410988.0
Trilogie,3,0.0,0.0
The Lord of the Rings Animated Collection,3,30471420.0,10157140.0
When a Stranger Calls Collection,3,66966987.0,22322329.0
Balto Collection,3,11348324.0,3782774.6666666665
Candyman Collection,3,39732693.0,13244231.0
Cannonball Run Collection,3,103335013.0,34445004.333333336
The Man With No Name Collection,3,35500000.0,11833333.333333334
Dhoom Series,3,149396427.0,49798809.0
The Trip Collection,3,951179.0,317059.6666666667
The Man from U.N.C.L.E. Collection,3,0.0,0.0
Captain America Collection,3,2238640841.0,746213613.6666666
Dexter Riley Collection,3,0.0,0.0
Alpha and Omega Collection,3,39300000.0,13100000.0
Batman (DC Universe Animated) Collection,3,5617391.0,1872463.6666666667
Basket Case Collection,3,0.0,0.0
The Matrix Collection,3,1627105295.0,542368431.6666666
The Matt Helm Collection,3,18718124.0,6239374.666666667
Warlock Collection,3,0.0,0.0
The Orphic Trilogy,3,0.0,0.0
Darkman Collection,3,48878502.0,16292834.0
The Little Mermaid Collection,3,222300000.0,74100000.0
The Sandlot Collection,3,32416586.0,10805528.666666666
Urban Legend,3,111101957.0,37033985.666666664
Crocodile Dundee Collection,3,607248390.0,202416130.0
Creepshow Collection,3,35028755.0,11676251.666666666
Creature From The Black Lagoon (Universal Series),3,1300000.0,433333.3333333333
The Ring Collection,3,493881361.0,164627120.33333334
Austin Powers Collection,3,675279506.0,225093168.66666666
Unoffical Ghosthouse Series,3,0.0,0.0
The Sabata Collection,3,0.0,0.0
The Smurfs (Theatrical) Collection,3,1108367047.0,369455682.3333333
The Slumber Party Massacre Collection,3,0.0,0.0
Anne of Green Gables Collection,3,0.0,0.0
Cinderella Collection,3,263591415.0,87863805.0
Conan the Barbarian Collection,3,186062718.0,62020906.0
The Santa Clause Collection,3,447188544.0,149062848.0
Cold Prey Collection,3,0.0,0.0
Cocaine Cowboys,3,163000.0,54333.333333333336
Back to the Future Collection,3,957637345.0,319212448.3333333
Bad Ass Collection,3,0.0,0.0
The Skulls Collection,3,35007180.0,11669060.0
Ukraine Trilogy,3,0.0,0.0
V/H/S Collection,3,124934.0,41644.666666666664
Arthur and the Invisibles Collection,3,107944236.0,35981412.0
Crows Collection,3,0.0,0.0
Cruel Intentions Collection,3,75902208.0,25300736.0
Annika Bengtzon Collection,3,0.0,0.0
Varg Veum Collection,3,0.0,0.0
Barbie Fairytopia Collection,3,0.0,0.0
Center Stage Collection,3,17200925.0,5733641.666666667
The Philadelphia Experiment - Collezione,3,2970.0,990.0
Appleseed Collection,3,1461989.0,487329.6666666667
The Substitute Collection,3,0.0,0.0
Trilogía de la violencia de Michael Haneke,3,0.0,0.0
The Prince & Me Collection,3,0.0,0.0
Vampire Karnstein (Hammer series),3,0.0,0.0
Charlie Chan (Roland Winters) Collection,3,0.0,0.0
Cyborg Collection,3,10166459.0,3388819.6666666665
Armour of God Collection,3,0.0,0.0
Barbershop Collection,3,195882105.0,65294035.0
Troll Collection,3,5450815.0,1816938.3333333333
Vabank (Collection),3,0.0,0.0
The Purge Collection,3,316699354.0,105566451.33333333
Curious George Collection,3,69834815.0,23278271.666666668
Cube Collection,3,501818.0,167272.66666666666
Batman Unlimited Collection,3,0.0,0.0
The Lord of the Rings Collection,3,2916544743.0,972181581.0
The Librarian Collection,3,0.0,0.0
Evil Dead Collection,3,35323044.0,11774348.0
The Gods Must Be Crazy Collection,3,60000000.0,20000000.0
The Good Witch Collection,3,0.0,0.0
A Chinese Ghost Story Collection,3,0.0,0.0
