productora,revenue,nro_peliculas
Filmax,158332886.0,18
Walter Wanger Productions,0.0,18
DD Productions,0.0,18
Platinum Dunes,4328193784.0,18
RabbitBandini Productions,32354475.0,18
Head Gear Films,107466948.0,18
Memfis Film,80177396.0,18
Dor Film Produktionsgesellschaft GmbH,11294.0,17
TF1 International,9046937.0,17
Saturn Films,1582824293.0,17
RatPac-Dune Entertainment,5059895423.0,17
Icon Productions,1080256223.0,17
Rastar Pictures,257194800.0,17
Batjac Productions,27100000.0,17
Mandeville Films,2537861623.0,17
Mutual Film Company,1668292559.0,17
Sony Pictures Animation,3153607030.0,17
Fidélité Films,65997959.0,17
Future Films,136130125.0,17
Fidélité Productions,22502023.0,17
Pathé Distribution,42034750.0,17
Radar Pictures,1216169497.0,17
China Film Group Corporation (CFGC),539191591.0,17
The Kennedy/Marshall Company,2684698287.0,17
Pyramide Productions,23983343.0,17
Bold Films,263897514.0,17
The Safran Company,945952423.0,17
Les Films Corona,741766.0,17
Ghost House Pictures,931375700.0,17
The Australian Film Commission,142708514.0,17
Universal TV,42000000.0,17
First Artists,87560134.0,17
United King Films,10499439.0,17
Big Screen Productions,3862691787.0,17
Diaphana Films,33473013.0,17
Baltimore Pictures,777689126.0,17
Lorimar Film Entertainment,297707341.0,17
Granada Television,17011018.0,17
Clover Productions,0.0,17
Impact Pictures,1550681732.0,17
Warner Home Video,0.0,17
Empire Pictures,111721836.0,17
Cinergi Pictures Entertainment,779588747.0,16
Annapurna Pictures,1319041322.0,16
Hanna-Barbera Productions,348213260.0,16
Media Rights Capital,2027646636.0,16
Edward R. Pressman Film,306726765.0,16
Rhombus Media,34901193.0,16
Filmstiftung Nordrhein-Westfalen,378534107.0,16
Hemdale Film,119077217.0,16
Alcor Films,704703110.0,16
Instituto Nacional de Cine y Artes Audiovisuales (INCAA),33965843.0,16
Sony Pictures,350521030.0,16
Silver Screen Partners IV,1551012236.0,16
WingNut Films,7111004341.0,16
North by Northwest Entertainment,5318974.0,16
Mars Distribution,33776100.0,16
Faliro House Productions,57009726.0,16
Alphaville Films,1928289496.0,16
Wildwood Enterprises,606921492.0,16
RHI Entertainment,0.0,16
Nord-Ouest Productions,17840043.0,16
Tim Burton Productions,3704110110.0,16
WGBH,0.0,16
Shanghai Film Group,587435249.0,16
21 Laps Entertainment,2673526504.0,16
Paramount Vantage,640834879.0,16
Double Feature Films,905349123.0,16
Atresmedia Cine,21712375.0,16
Bad Hat Harry Productions,4409722217.0,16
Crown International Pictures,56320366.0,16
Concorde-New Horizons,0.0,16
DNA Films,693812794.0,16
Pathe,110555405.0,16
GAGA,145744199.0,16
Golan-Globus,112449738.0,16
Roxy Film,0.0,16
Element Pictures,74289364.0,16
Donners' Company,4741214627.0,16
Beacon Pictures,476326505.0,16
Katsu Production Co. Ltd.,0.0,16
Versus Production,0.0,16
Nelson Entertainment,197422800.0,16
Playtone,2175418473.0,16
Gosteleradio,0.0,16
Les films du Worso,1109583.0,16
Twisted Pictures,900713339.0,15
Marianne Productions,2500003.0,15
Capital Arts Entertainment,5800000.0,15
Gemini Films,0.0,15
Republic Pictures (I),7800000.0,15
Focus Films,150398002.0,15
Paramount Animation,987387543.0,15
Chernin Entertainment,3370715980.0,15
Revolution Sun Studios,8120339217.0,15
Alta Vista Productions,4949275.0,15
Antena 3 Films,126057676.0,15
Kadokawa Pictures,10548712.0,15
HBO Documentary Films,3003169.0,15
Kodansha,20477161.0,15
Studio 37,178383469.0,15
Bórd Scannán na hÉireann,49776488.0,15
Les Films Concordia,528428.0,15
Cineriz,0.0,15
MACT Productions,6313913.0,15
Enjoy Movies,31272581.0,15
Aniplex,24723616.0,15
Selznick International Pictures,413176459.0,15
Ruby Films,232141686.0,15
Les Productions du Trésor,72474149.0,15
Neo Art & Logic,33658910.0,15
